<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.10.09	16:30:00	257.90	258.00	257.03	257.07	1950	701806	1
2025.10.09	16:31:00	257.02	257.53	257.00	257.08	696	95960	1
2025.10.09	16:32:00	257.10	257.12	256.66	256.84	694	130219	1
2025.10.09	16:33:00	256.83	257.07	256.47	256.79	571	119211	1
2025.10.09	16:34:00	256.79	256.81	256.33	256.57	443	64459	1
2025.10.09	16:35:00	256.57	256.90	256.53	256.88	481	76225	1
2025.10.09	16:36:00	256.82	256.89	256.62	256.68	301	58053	1
2025.10.09	16:37:00	256.68	256.75	256.51	256.64	355	62247	1
2025.10.09	16:38:00	256.64	256.70	256.51	256.68	193	32226	1
2025.10.09	16:39:00	256.65	257.02	256.65	256.99	388	63318	1
2025.10.09	16:40:00	256.99	257.05	256.41	256.62	418	82050	1
2025.10.09	16:41:00	256.62	256.77	256.00	256.01	916	158227	1
2025.10.09	16:42:00	256.01	256.06	255.83	255.89	809	161057	1
2025.10.09	16:43:00	255.90	255.96	255.51	255.60	910	196776	1
2025.10.09	16:44:00	255.58	255.75	255.50	255.70	444	85889	1
2025.10.09	16:45:00	255.70	255.73	255.37	255.37	539	91190	1
2025.10.09	16:46:00	255.37	255.64	255.35	255.54	395	85220	1
2025.10.09	16:47:00	255.55	255.98	255.51	255.95	434	73049	1
2025.10.09	16:48:00	255.96	255.97	255.61	255.76	282	51197	1
2025.10.09	16:49:00	255.80	256.13	255.78	256.03	294	52289	1
2025.10.09	16:50:00	256.04	256.09	255.61	255.76	398	59319	1
2025.10.09	16:51:00	255.80	255.83	255.38	255.64	358	66503	1
2025.10.09	16:52:00	255.48	255.62	255.33	255.36	448	65667	1
2025.10.09	16:53:00	255.33	255.49	255.11	255.21	348	69906	1
2025.10.09	16:54:00	255.24	255.27	254.81	254.83	204	31663	1
2025.10.09	16:55:00	254.86	255.00	254.78	254.85	316	58425	1
2025.10.09	16:56:00	254.82	255.09	254.79	254.98	388	66355	1
2025.10.09	16:57:00	254.96	255.19	254.93	255.14	334	58476	1
2025.10.09	16:58:00	255.14	255.28	255.11	255.21	250	41887	1
2025.10.09	16:59:00	255.21	255.33	255.14	255.14	407	81481	1
2025.10.09	17:00:00	255.17	255.45	255.12	255.44	418	75810	1
2025.10.09	17:01:00	255.46	255.47	255.18	255.38	283	49089	1
2025.10.09	17:02:00	255.39	255.54	255.36	255.48	353	50697	1
2025.10.09	17:03:00	255.49	255.55	255.42	255.50	215	38712	1
2025.10.09	17:04:00	255.49	255.55	255.45	255.54	185	33433	1
2025.10.09	17:05:00	255.54	255.62	255.50	255.52	250	40563	1
2025.10.09	17:06:00	255.55	255.55	255.18	255.30	297	104544	1
2025.10.09	17:07:00	255.29	255.37	255.19	255.19	286	50479	1
2025.10.09	17:08:00	255.20	255.26	255.09	255.22	126	35034	1
2025.10.09	17:09:00	255.23	255.42	255.23	255.38	208	92822	1
2025.10.09	17:10:00	255.38	255.44	255.20	255.22	204	48524	1
2025.10.09	17:11:00	255.21	255.38	255.16	255.37	186	32185	1
2025.10.09	17:12:00	255.37	255.38	255.27	255.38	219	38503	1
2025.10.09	17:13:00	255.40	255.48	255.38	255.48	235	45968	1
2025.10.09	17:14:00	255.48	255.63	255.43	255.54	252	46301	1
2025.10.09	17:15:00	255.55	255.65	255.55	255.63	343	56244	1
2025.10.09	17:16:00	255.62	255.72	255.43	255.62	310	45693	1
2025.10.09	17:17:00	255.60	255.74	255.55	255.74	132	23504	1
2025.10.09	17:18:00	255.70	255.74	255.37	255.44	558	105727	1
2025.10.09	17:19:00	255.43	255.64	255.28	255.38	239	46158	1
2025.10.09	17:20:00	255.37	255.42	255.30	255.38	218	36322	1
2025.10.09	17:21:00	255.35	255.56	255.30	255.53	202	27146	1
2025.10.09	17:22:00	255.53	255.53	255.20	255.28	213	34443	1
2025.10.09	17:23:00	255.29	255.32	255.10	255.23	239	38785	1
2025.10.09	17:24:00	255.23	255.23	255.01	255.05	362	51318	1
2025.10.09	17:25:00	255.05	255.19	255.01	255.11	286	40775	1
2025.10.09	17:26:00	255.11	255.13	254.81	254.98	389	80934	1
2025.10.09	17:27:00	254.90	255.04	254.90	254.95	235	32244	1
2025.10.09	17:28:00	254.94	255.03	254.93	254.95	238	50003	1
2025.10.09	17:29:00	254.96	255.01	254.90	254.92	174	33052	1
2025.10.09	17:30:00	254.91	254.92	254.65	254.76	405	65292	1
2025.10.09	17:31:00	254.76	254.84	254.61	254.61	325	54300	1
2025.10.09	17:32:00	254.60	255.10	254.57	255.07	429	77016	1
2025.10.09	17:33:00	255.08	255.14	254.90	255.00	301	47721	1
2025.10.09	17:34:00	255.00	255.01	254.85	254.90	155	22296	1
2025.10.09	17:35:00	254.90	254.97	254.82	254.93	202	44299	1
2025.10.09	17:36:00	254.90	254.92	254.85	254.85	147	22260	1
2025.10.09	17:37:00	254.84	254.90	254.76	254.86	146	28238	1
2025.10.09	17:38:00	254.87	254.96	254.71	254.81	195	30510	1
2025.10.09	17:39:00	254.80	255.02	254.73	255.00	196	41622	1
2025.10.09	17:40:00	255.00	255.12	254.99	255.06	186	35732	1
2025.10.09	17:41:00	255.06	255.10	254.97	255.00	153	30482	1
2025.10.09	17:42:00	255.01	255.02	254.81	254.88	191	38294	1
2025.10.09	17:43:00	254.88	254.98	254.88	254.88	138	19686	1
2025.10.09	17:44:00	254.88	254.97	254.87	254.88	142	33999	1
2025.10.09	17:45:00	254.88	254.90	254.81	254.85	178	29199	1
2025.10.09	17:46:00	254.85	254.90	254.75	254.77	133	20232	1
2025.10.09	17:47:00	254.75	254.87	254.75	254.77	92	17482	1
2025.10.09	17:48:00	254.76	254.95	254.76	254.95	129	20264	1
2025.10.09	17:49:00	254.95	255.08	254.90	255.03	168	26632	1
2025.10.09	17:50:00	255.05	255.19	255.03	255.16	133	23023	1
2025.10.09	17:51:00	255.15	255.19	255.05	255.06	129	32503	1
2025.10.09	17:52:00	255.05	255.17	255.05	255.07	124	20225	1
2025.10.09	17:53:00	255.07	255.07	254.98	255.02	120	20365	1
2025.10.09	17:54:00	255.01	255.08	254.98	255.02	92	14427	1
2025.10.09	17:55:00	255.04	255.21	255.03	255.10	138	23466	1
2025.10.09	17:56:00	255.08	255.11	254.92	254.99	98	16874	1
2025.10.09	17:57:00	255.00	255.10	254.98	255.10	85	15369	1
2025.10.09	17:58:00	255.11	255.12	254.89	254.96	221	37130	1
2025.10.09	17:59:00	254.94	255.00	254.91	254.94	102	18424	1
2025.10.09	18:00:00	254.96	255.14	254.96	255.11	98	17540	1
2025.10.09	18:01:00	255.11	255.22	255.10	255.20	149	25427	1
2025.10.09	18:02:00	255.21	255.22	255.04	255.07	126	24426	1
2025.10.09	18:03:00	255.10	255.19	255.09	255.18	141	36270	1
2025.10.09	18:04:00	255.19	255.19	255.04	255.06	90	19175	1
2025.10.09	18:05:00	255.06	255.13	255.05	255.13	92	16460	1
2025.10.09	18:06:00	255.11	255.12	254.85	254.95	210	38842	1
2025.10.09	18:07:00	254.97	254.97	254.72	254.86	267	44161	1
2025.10.09	18:08:00	254.87	254.92	254.83	254.91	117	21765	1
2025.10.09	18:09:00	254.90	254.96	254.90	254.95	162	33445	1
2025.10.09	18:10:00	254.93	255.06	254.91	255.03	75	19987	1
2025.10.09	18:11:00	255.02	255.09	254.98	255.08	87	15314	1
2025.10.09	18:12:00	255.07	255.17	255.07	255.10	103	21969	1
2025.10.09	18:13:00	255.12	255.16	255.07	255.08	133	25651	1
2025.10.09	18:14:00	255.08	255.08	254.98	255.07	104	19517	1
2025.10.09	18:15:00	255.07	255.12	255.04	255.05	124	34757	1
2025.10.09	18:16:00	255.05	255.10	254.86	254.87	115	30842	1
2025.10.09	18:17:00	254.87	254.92	254.81	254.85	163	23995	1
