<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.10.09	16:30:00	236.21	237.45	235.27	237.36	4480	1429909	1
2025.10.09	16:31:00	237.36	239.10	236.75	239.05	2711	679696	1
2025.10.09	16:32:00	239.10	239.77	236.59	236.82	3597	878146	1
2025.10.09	16:33:00	236.86	237.71	234.50	234.80	3268	787399	1
2025.10.09	16:34:00	234.78	235.52	234.24	235.10	2200	495479	1
2025.10.09	16:35:00	235.08	235.49	234.24	234.91	1860	377763	1
2025.10.09	16:36:00	234.90	237.03	234.57	236.94	1977	493641	1
2025.10.09	16:37:00	236.98	237.10	236.02	236.20	1455	326085	1
2025.10.09	16:38:00	236.20	236.42	233.90	234.64	2493	584841	1
2025.10.09	16:39:00	234.58	235.37	234.26	234.90	1546	334718	1
2025.10.09	16:40:00	234.84	235.31	234.36	234.65	1148	275499	1
2025.10.09	16:41:00	234.69	235.24	234.20	235.24	1123	250866	1
2025.10.09	16:42:00	235.12	236.40	234.84	236.10	1404	331711	1
2025.10.09	16:43:00	236.06	236.47	235.20	236.36	1189	269992	1
2025.10.09	16:44:00	236.37	237.02	235.95	236.30	1831	432073	1
2025.10.09	16:45:00	236.37	236.37	235.18	235.57	1854	416286	1
2025.10.09	16:46:00	235.57	235.57	234.21	234.41	1401	338413	1
2025.10.09	16:47:00	234.50	235.91	234.40	235.37	1214	291147	1
2025.10.09	16:48:00	235.51	236.25	235.20	236.25	1194	284503	1
2025.10.09	16:49:00	236.26	237.55	236.20	237.51	1841	403072	1
2025.10.09	16:50:00	237.54	239.44	237.25	239.43	2308	607150	1
2025.10.09	16:51:00	239.34	240.10	238.23	238.23	3426	1014656	1
2025.10.09	16:52:00	238.30	238.70	237.49	238.61	1477	389468	1
2025.10.09	16:53:00	238.60	239.69	238.44	239.25	1455	331085	1
2025.10.09	16:54:00	239.33	239.33	238.06	238.57	626	169379	1
2025.10.09	16:55:00	238.58	239.49	238.18	238.45	1577	353129	1
2025.10.09	16:56:00	238.33	238.82	237.92	238.49	1097	254423	1
2025.10.09	16:57:00	238.51	238.86	237.93	238.28	745	181512	1
2025.10.09	16:58:00	238.26	238.37	237.60	238.06	1003	231006	1
2025.10.09	16:59:00	238.05	238.22	237.40	237.98	913	192608	1
2025.10.09	17:00:00	237.98	238.39	237.06	237.20	1286	305519	1
2025.10.09	17:01:00	237.19	237.50	236.66	236.68	967	219105	1
2025.10.09	17:02:00	236.72	236.80	235.51	236.15	1359	345278	1
2025.10.09	17:03:00	236.19	236.70	235.94	236.35	841	220688	1
2025.10.09	17:04:00	236.36	237.44	236.30	237.18	1148	283511	1
2025.10.09	17:05:00	237.24	237.36	236.54	236.65	711	151355	1
2025.10.09	17:06:00	236.66	237.14	236.35	236.41	696	155411	1
2025.10.09	17:07:00	236.41	236.70	235.40	235.63	1042	222507	1
2025.10.09	17:08:00	235.64	235.71	234.50	234.93	1594	396323	1
2025.10.09	17:09:00	234.95	235.15	234.37	235.05	1266	303297	1
2025.10.09	17:10:00	235.07	235.37	234.61	235.18	952	259004	1
