<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.10.09	16:30:00	224.92	225.12	223.86	224.64	2036	622343	1
2025.10.09	16:31:00	224.67	224.95	223.68	223.72	878	135990	1
2025.10.09	16:32:00	223.70	223.89	223.45	223.62	781	135550	1
2025.10.09	16:33:00	223.63	223.94	223.58	223.81	755	177533	1
2025.10.09	16:34:00	223.82	224.14	223.58	223.94	592	119748	1
2025.10.09	16:35:00	223.91	224.27	223.87	224.12	515	115901	1
2025.10.09	16:36:00	224.12	224.34	223.88	224.13	567	180944	1
2025.10.09	16:37:00	224.13	224.21	223.82	223.90	314	68214	1
2025.10.09	16:38:00	223.88	223.95	223.51	223.56	367	91387	1
2025.10.09	16:39:00	223.57	223.60	223.25	223.33	511	104710	1
2025.10.09	16:40:00	223.33	223.52	223.29	223.41	512	144524	1
2025.10.09	16:41:00	223.41	223.41	222.74	222.81	886	224774	1
2025.10.09	16:42:00	222.77	222.81	222.47	222.48	782	176269	1
2025.10.09	16:43:00	222.48	222.77	222.47	222.71	421	100290	1
2025.10.09	16:44:00	222.72	222.90	222.68	222.78	525	108515	1
2025.10.09	16:45:00	222.79	222.90	222.65	222.84	500	97760	1
2025.10.09	16:46:00	222.82	222.90	222.57	222.74	423	77593	1
2025.10.09	16:47:00	222.75	222.85	222.54	222.58	385	74609	1
2025.10.09	16:48:00	222.61	222.68	222.38	222.66	412	71413	1
2025.10.09	16:49:00	222.68	222.88	222.65	222.81	424	83883	1
2025.10.09	16:50:00	222.79	222.79	222.35	222.38	480	92455	1
2025.10.09	16:51:00	222.38	222.41	221.90	221.92	702	156483	1
2025.10.09	16:52:00	221.89	222.31	221.87	222.20	506	90048	1
2025.10.09	16:53:00	222.20	222.25	222.07	222.08	358	80015	1
2025.10.09	16:54:00	222.09	222.38	222.09	222.36	128	22800	1
2025.10.09	16:55:00	222.38	222.69	222.37	222.67	339	81412	1
2025.10.09	16:56:00	222.68	222.93	222.63	222.87	404	91667	1
2025.10.09	16:57:00	222.87	223.05	222.86	223.02	496	93254	1
2025.10.09	16:58:00	223.03	223.16	222.93	223.05	387	81631	1
2025.10.09	16:59:00	223.04	223.05	222.82	222.83	382	62753	1
2025.10.09	17:00:00	222.83	222.84	222.58	222.60	353	75388	1
2025.10.09	17:01:00	222.60	222.84	222.58	222.68	308	52170	1
2025.10.09	17:02:00	222.67	223.16	222.67	223.16	394	72071	1
2025.10.09	17:03:00	223.18	223.22	223.02	223.16	309	63644	1
2025.10.09	17:04:00	223.16	223.21	223.07	223.10	169	36926	1
2025.10.09	17:05:00	223.09	223.22	223.09	223.14	201	44141	1
2025.10.09	17:06:00	223.14	223.33	223.12	223.32	299	62682	1
2025.10.09	17:07:00	223.34	223.35	223.19	223.24	337	69920	1
2025.10.09	17:08:00	223.25	223.35	223.21	223.29	204	34702	1
2025.10.09	17:09:00	223.31	223.32	223.04	223.19	348	79571	1
2025.10.09	17:10:00	223.19	223.22	223.06	223.13	211	35013	1
2025.10.09	17:11:00	223.12	223.20	222.94	223.05	251	50519	1
2025.10.09	17:12:00	223.05	223.15	222.98	223.01	259	57152	1
2025.10.09	17:13:00	223.02	223.03	222.85	222.88	255	46278	1
2025.10.09	17:14:00	222.89	223.02	222.82	222.97	161	47308	1
2025.10.09	17:15:00	222.96	222.96	222.84	222.85	171	32374	1
2025.10.09	17:16:00	222.85	222.91	222.71	222.81	178	36129	1
2025.10.09	17:17:00	222.78	222.91	222.75	222.91	70	14428	1
2025.10.09	17:18:00	222.85	222.87	222.70	222.76	117	29268	1
2025.10.09	17:19:00	222.75	222.77	222.62	222.68	169	31849	1
2025.10.09	17:20:00	222.69	222.84	222.69	222.73	133	32782	1
2025.10.09	17:21:00	222.71	222.77	222.64	222.67	191	33757	1
2025.10.09	17:22:00	222.67	222.71	222.61	222.69	159	32782	1
2025.10.09	17:23:00	222.70	222.80	222.69	222.79	146	32078	1
2025.10.09	17:24:00	222.77	222.84	222.72	222.72	155	32982	1
2025.10.09	17:25:00	222.71	222.74	222.55	222.57	196	36580	1
2025.10.09	17:26:00	222.56	222.61	222.46	222.46	233	58478	1
2025.10.09	17:27:00	222.43	222.46	222.15	222.17	314	66023	1
2025.10.09	17:28:00	222.17	222.31	222.12	222.21	252	45784	1
2025.10.09	17:29:00	222.21	222.35	222.12	222.32	266	58124	1
2025.10.09	17:30:00	222.33	222.33	222.15	222.20	186	37924	1
2025.10.09	17:31:00	222.20	222.23	222.05	222.07	217	43046	1
2025.10.09	17:32:00	222.07	222.13	221.96	222.00	315	62384	1
2025.10.09	17:33:00	222.02	222.06	221.93	221.97	270	53568	1
2025.10.09	17:34:00	221.96	222.01	221.85	221.86	263	50024	1
