<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.10.09	16:30:00	718.27	719.68	716.87	717.84	407	155133	1
2025.10.09	16:31:00	717.95	719.71	717.85	719.03	90	18421	2
2025.10.09	16:32:00	719.12	719.74	717.87	718.84	80	13768	1
2025.10.09	16:33:00	718.95	720.46	718.83	720.13	143	24046	1
2025.10.09	16:34:00	720.08	721.31	719.70	720.74	154	23483	1
2025.10.09	16:35:00	720.87	722.36	720.87	721.08	221	46128	1
2025.10.09	16:36:00	721.08	721.62	720.80	721.45	126	18674	2
2025.10.09	16:37:00	721.27	721.56	718.25	718.87	183	29714	1
2025.10.09	16:38:00	718.95	720.48	718.95	719.91	88	13835	4
2025.10.09	16:39:00	719.99	720.06	719.32	719.53	62	8541	1
2025.10.09	16:40:00	719.50	719.90	718.56	718.91	63	10855	1
2025.10.09	16:41:00	718.57	718.88	717.23	717.46	110	17867	2
2025.10.09	16:42:00	717.70	717.86	716.15	716.23	130	27807	2
2025.10.09	16:43:00	716.20	716.35	715.20	715.82	134	28124	1
2025.10.09	16:44:00	715.96	716.22	715.18	716.22	77	15721	1
2025.10.09	16:45:00	716.02	716.35	714.00	714.72	178	30142	1
2025.10.09	16:46:00	714.51	714.69	712.49	712.83	119	21120	1
2025.10.09	16:47:00	713.00	714.39	712.80	713.54	78	12671	2
2025.10.09	16:48:00	713.47	714.89	713.27	714.79	84	19643	1
2025.10.09	16:49:00	715.00	715.33	714.36	714.70	83	16370	1
2025.10.09	16:50:00	714.77	715.49	714.71	715.03	89	13180	1
2025.10.09	16:51:00	715.15	715.99	714.82	715.13	73	13480	3
2025.10.09	16:52:00	715.03	715.77	714.96	715.54	67	9258	1
2025.10.09	16:53:00	715.78	715.87	715.39	715.45	68	9892	1
2025.10.09	16:54:00	715.54	715.81	715.02	715.53	42	5625	1
2025.10.09	16:55:00	715.65	716.28	715.50	716.03	62	12376	1
2025.10.09	16:56:00	715.87	716.39	715.87	716.11	40	8309	2
2025.10.09	16:57:00	716.32	717.34	716.32	717.10	83	14883	2
2025.10.09	16:58:00	717.10	717.64	717.01	717.10	54	11259	1
2025.10.09	16:59:00	717.31	718.24	717.09	717.59	100	15844	2
2025.10.09	17:00:00	717.58	717.75	717.09	717.36	94	17977	5
2025.10.09	17:01:00	717.38	717.58	716.96	717.23	57	14966	1
2025.10.09	17:02:00	717.03	717.90	716.67	717.90	39	6089	1
2025.10.09	17:03:00	717.84	718.62	717.78	718.50	83	17779	1
2025.10.09	17:04:00	718.49	719.45	718.49	718.98	113	24979	3
2025.10.09	17:05:00	718.83	719.81	718.68	719.13	78	11545	1
2025.10.09	17:06:00	719.14	719.50	718.87	719.24	69	14011	2
2025.10.09	17:07:00	719.32	719.42	718.91	718.93	39	7410	1
2025.10.09	17:08:00	718.83	719.47	718.77	719.28	35	6534	2
2025.10.09	17:09:00	719.10	719.49	718.95	719.49	44	16261	2
