<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.10.09	16:30:00	522.34	523.93	521.80	522.89	1084	325138	1
2025.10.09	16:31:00	522.90	524.33	522.72	523.51	126	23651	1
2025.10.09	16:32:00	523.50	523.61	523.04	523.21	99	14898	1
2025.10.09	16:33:00	523.13	523.89	523.00	523.70	98	17734	1
2025.10.09	16:34:00	523.82	524.11	522.83	522.94	96	15249	1
2025.10.09	16:35:00	522.90	523.59	522.90	523.59	67	10325	1
2025.10.09	16:36:00	523.66	523.69	522.75	522.83	123	22925	1
2025.10.09	16:37:00	522.69	523.00	522.66	522.99	73	12824	1
2025.10.09	16:38:00	523.02	523.47	522.83	523.39	127	14737	1
2025.10.09	16:39:00	523.33	523.61	523.18	523.40	98	12605	1
2025.10.09	16:40:00	523.49	523.95	523.03	523.03	125	15107	1
2025.10.09	16:41:00	522.93	523.13	522.60	522.91	239	27724	1
2025.10.09	16:42:00	522.91	522.91	522.61	522.70	190	31966	1
2025.10.09	16:43:00	522.74	523.08	522.45	522.56	135	23939	2
2025.10.09	16:44:00	522.44	522.58	522.03	522.21	115	17433	1
2025.10.09	16:45:00	522.20	522.21	521.19	521.21	356	62736	1
2025.10.09	16:46:00	521.27	521.38	520.84	520.84	369	51588	1
2025.10.09	16:47:00	520.87	521.02	520.50	520.74	174	32424	1
2025.10.09	16:48:00	520.77	521.79	520.60	521.65	206	29405	1
2025.10.09	16:49:00	521.69	521.94	521.34	521.45	144	19365	1
2025.10.09	16:50:00	521.41	521.58	520.93	521.09	100	13208	1
2025.10.09	16:51:00	521.08	521.46	520.72	520.90	190	29591	1
2025.10.09	16:52:00	520.82	520.90	520.06	520.07	218	36673	1
2025.10.09	16:53:00	520.06	520.39	519.87	520.15	396	74633	1
2025.10.09	16:54:00	520.12	520.56	520.06	520.54	76	13272	1
2025.10.09	16:55:00	520.57	520.74	520.22	520.33	143	24288	1
2025.10.09	16:56:00	520.37	521.11	520.37	521.05	149	22658	1
2025.10.09	16:57:00	521.03	521.89	521.00	521.66	167	27446	1
2025.10.09	16:58:00	521.57	521.88	521.57	521.75	73	12906	2
2025.10.09	16:59:00	521.76	522.07	521.54	521.73	148	20651	1
2025.10.09	17:00:00	521.81	522.10	521.62	522.07	235	31611	1
2025.10.09	17:01:00	522.01	522.43	521.86	522.21	176	27088	1
2025.10.09	17:02:00	522.35	522.60	522.07	522.09	137	20194	1
2025.10.09	17:03:00	522.13	522.37	522.05	522.30	54	7361	1
2025.10.09	17:04:00	522.30	522.36	521.70	521.76	182	23029	1
2025.10.09	17:05:00	521.78	522.15	521.70	521.89	170	22117	1
2025.10.09	17:06:00	521.89	522.02	521.66	521.72	164	20579	1
2025.10.09	17:07:00	521.73	521.96	521.73	521.89	103	23673	1
2025.10.09	17:08:00	521.89	521.97	521.75	521.93	121	19155	1
2025.10.09	17:09:00	521.94	522.25	521.88	522.00	111	23840	1
2025.10.09	17:10:00	522.01	522.15	521.93	522.06	95	16140	1
2025.10.09	17:11:00	522.12	522.31	521.83	521.86	125	16274	1
2025.10.09	17:12:00	521.81	522.17	521.70	522.07	130	19265	1
2025.10.09	17:13:00	522.08	522.48	521.90	522.48	89	15157	1
2025.10.09	17:14:00	522.48	522.54	522.00	522.00	82	17043	1
2025.10.09	17:15:00	521.97	522.29	521.97	522.12	106	19214	1
2025.10.09	17:16:00	522.14	522.38	522.07	522.14	53	10693	1
2025.10.09	17:17:00	522.15	522.37	522.11	522.36	14	3479	4
2025.10.09	17:18:00	522.27	522.48	522.18	522.48	59	9370	1
2025.10.09	17:19:00	522.48	522.48	522.27	522.31	26	3121	1
2025.10.09	17:20:00	522.35	522.35	521.75	521.77	36	4099	2
2025.10.09	17:21:00	521.65	521.70	521.41	521.60	76	11948	1
